PC=000000000000005c, REG[ 5]=0000000000000001
PC=0000000000000060, REG[10]=e9c3814dd06e1e64
PC=0000000000000064, REG[10]=e9c3814ddbbe6e61
PC=0000000000000068, REG[11]=704c694c20c5c5dd
PC=000000000000006c, REG[11]=704c694c2c1615da
PC=0000000000000070, REG[12]=d3893127bcb97872
PC=0000000000000074, REG[12]=d3893127c809c86f
PC=0000000000000078, REG[10]=00000000e9c3814d
PC=000000000000007c, REG[11]=00000000704c694c
PC=0000000000000080, REG[10]=0000000000000000
PC=0000000000000084, REG[11]=0000000000000000
PC=0000000000000088, REG[ 0]=00000000000002ed
PC=000000000000008c, ---
PC=0000000000000090, REG[ 0]=000000000000030d
PC=0000000000000094, ---
PC=0000000000000050, REG[ 3]=000000000b504ffd
PC=0000000000000054, REG[ 4]=0000000000000000
PC=0000000000000058, REG[ 4]=0000000000000001
PC=000000000000005c, REG[ 5]=0000000000000001
PC=0000000000000060, REG[10]=e9c3814dd06e1e64
PC=0000000000000064, REG[10]=e9c3814ddbbe6e61
PC=0000000000000068, REG[11]=704c694c20c5c5dd
PC=000000000000006c, REG[11]=704c694c2c1615da
PC=0000000000000070, REG[12]=d3893127bcb97872
PC=0000000000000074, REG[12]=d3893127c809c86f
PC=0000000000000078, REG[ 1]=f31aa2fdc0c765b3
PC=000000000000007c, REG[ 1]=f31aa2fdcc17b5b0
PC=0000000000000080, REG[12]=00000000d3893127
PC=0000000000000084, REG[13]=00000000f31aa2fd
PC=0000000000000088, REG[ 0]=000000000000032d
PC=000000000000008c, ---
PC=0000000000000090, REG[ 0]=000000000000034d
PC=0000000000000094, ---
PC=0000000000000050, REG[ 3]=000000000b504ffd
PC=0000000000000054, REG[ 4]=0000000000000000
PC=0000000000000058, REG[ 4]=0000000000000001
PC=000000000000005c, REG[ 5]=0000000000000001
PC=0000000000000060, REG[10]=9e013e5fb9578ef0
PC=0000000000000064, REG[10]=9e013e5fc4a7deed
PC=0000000000000068, REG[11]=2fa814bf011a4039
PC=000000000000006c, REG[11]=2fa814bf0c6a9036
PC=0000000000000070, REG[12]=895dd92c2795a55e
PC=0000000000000074, REG[12]=895dd92c32e5f55b
PC=0000000000000078, REG[10]=000000009e013e5f
PC=000000000000007c, REG[11]=000000002fa814bf
PC=0000000000000080, REG[10]=0000000000000000
PC=0000000000000084, REG[11]=0000000000000000
PC=0000000000000088, REG[ 0]=000000000000036d
PC=000000000000008c, ---
PC=0000000000000090, REG[ 0]=000000000000038d
PC=0000000000000094, ---
PC=0000000000000050, REG[ 3]=000000000b504ffd
PC=0000000000000054, REG[ 4]=0000000000000000
PC=0000000000000058, REG[ 4]=0000000000000001
PC=000000000000005c, REG[ 5]=0000000000000001
PC=0000000000000060, REG[10]=9e013e5fb9578ef0
PC=0000000000000064, REG[10]=9e013e5fc4a7deed
PC=0000000000000068, REG[11]=2fa814bf011a4039
PC=000000000000006c, REG[11]=2fa814bf0c6a9036
PC=0000000000000070, REG[12]=895dd92c2795a55e
PC=0000000000000074, REG[12]=895dd92c32e5f55b
PC=0000000000000078, REG[ 1]=07720fea11820aef
PC=000000000000007c, REG[ 1]=07720fea1cd25aec
PC=0000000000000080, REG[12]=00000000895dd92c
PC=0000000000000084, REG[13]=0000000007720fea
PC=0000000000000088, REG[ 0]=00000000000003ad
PC=000000000000008c, ---
PC=0000000000000090, REG[ 0]=00000000000003cd
PC=0000000000000094, ---
PC=0000000000000050, REG[ 3]=000000000b504ffd
PC=0000000000000054, REG[ 4]=0000000000000000
PC=0000000000000058, REG[ 4]=0000000000000001
PC=000000000000005c, REG[ 5]=0000000000000001
PC=0000000000000060, REG[10]=3c8984c810a61b3c
PC=0000000000000064, REG[10]=3c8984c81bf66b39
PC=0000000000000068, REG[11]=97cf8c27d26f2755
PC=000000000000006c, REG[11]=97cf8c27ddbf7752
PC=0000000000000070, REG[12]=622d47140ea14c0a
PC=0000000000000074, REG[12]=622d471419f19c07
PC=0000000000000078, REG[10]=000000003c8984c8
PC=000000000000007c, REG[11]=0000000097cf8c27
PC=0000000000000080, REG[10]=0000000000000000
PC=0000000000000084, REG[11]=0000000000000000
PC=0000000000000088, REG[ 0]=00000000000003ed
PC=000000000000008c, ---
